Column1	Column2	Column3	Column4	Column5
210811	259	薬師寺玄奘三蔵院 @ 奈良 210811	img/210811_028.jpeg	近畿
210811	260	薬師寺菩提樹 @ 奈良 210811	img/210811_024.jpeg	近畿
210811	261	奈良の鹿 @ 奈良 210811	img/210811_016.jpeg	近畿
210811	262	奈良の鹿 @ 奈良 210811	img/210811_017.jpeg	近畿
210811	263	奈良の鹿 @ 奈良 210811	img/210811_019.jpeg	近畿
210811	264	奈良の鹿 @ 奈良 210811	img/210811_020.jpeg	近畿
210811	265	奈良の鹿 @ 奈良 210811	img/210811_022.jpeg	近畿
210811	266	春日大社 @ 奈良 210811	img/210811_021.jpeg	近畿
210811	267	唐招提寺 @ 奈良 210811	img/210811_018.jpeg	近畿
210811	268	ならや釜めし @ 奈良 210811	img/210811_023.jpeg	近畿
210919	269	東寺 @ 京都 210919	img/210919_001.jpeg	近畿
210919	270	東寺 @ 京都 210919	img/210919_002.jpeg	近畿
210919	271	東寺 @ 京都 210919	img/210919_003.jpeg	近畿
210919	272	東寺 @ 京都 210919	img/210919_004.jpeg	近畿
210919	273	東寺 @ 京都 210919	img/210919_005.jpeg	近畿
210919	274	清水寺 @ 京都 210919	img/210919_006.jpeg	近畿
210919	275	清水寺 @ 京都 210919	img/210919_007.jpeg	近畿
210919	276	清水寺 @ 京都 210919	img/210919_008.jpeg	近畿
220428	277	平等院鳳凰堂 @ 京都 220428	img/220428_001.jpeg	近畿
220428	278	平等院鳳凰堂 @ 京都 220428	img/220428_002.jpeg	近畿
220529	279	熊野古道 @ 和歌山 220529	img/220529_001.jpeg	近畿
220529	280	熊野古道 @ 和歌山 220529	img/220529_002.jpeg	近畿
220529	281	熊野古道 @ 和歌山 220529	img/220529_003.jpeg	近畿
220529	282	熊野神社 @ 和歌山 220529	img/220529_004.jpeg	近畿
220529	283	熊野神社 @ 和歌山 220529	img/220529_005.jpeg	近畿
220810	284	伊勢神宮 @ 三重 220810	img/220810_001.jpeg	近畿
220810	285	伊勢神宮 @ 三重 220810	img/220810_002.jpeg	近畿
220810	286	伊勢神宮 @ 三重 220810	img/220810_003.jpeg	近畿
220810	287	伊勢神宮 @ 三重 220810	img/220810_004.jpeg	近畿
220810	288	伊勢神宮 @ 三重 220810	img/220810_005.jpeg	近畿
220810	289	ゑびやお伊勢さんのご馳走定食 @ 三重 220810	img/220810_007.jpeg	近畿
220810	290	ゑびや鮑串 @ 三重 220810	img/220810_006.jpeg	近畿
220812	291	比叡山延暦寺 @ 滋賀 220812	img/220812_001.jpeg	近畿
220812	292	比叡山延暦寺 @ 滋賀 220812	img/220812_002.jpeg	近畿
220812	293	比叡山延暦寺 @ 滋賀 220812	img/220812_003.jpeg	近畿
220812	294	比叡山延暦寺 @ 滋賀 220812	img/220812_004.jpeg	近畿
220812	295	比叡山延暦寺 @ 滋賀 220812	img/220812_005.jpeg	近畿
220812	296	比叡山延暦寺 @ 滋賀 220812	img/220812_006.jpeg	近畿
220812	297	峰道レストラン湖の御膳 @ 滋賀 220812	img/220812_007.jpeg	近畿
220924	298	家前の小道 @ 京都 220924	img/220924_004.jpeg	近畿
230105	299	鴨川 @ 京都 230105	img/230105_001.jpeg	近畿
221008	300	道後温泉駅 @ 愛媛 221008	img/221008_013.jpeg	四国
221008	301	道後温泉駅前 @ 愛媛 221008	img/221008_016.jpeg	四国
221008	302	道後温泉又新殿 @ 愛媛 221008	img/221008_031.jpeg	四国
221008	303	道後温泉又新殿 @ 愛媛 221008	img/221008_025.jpeg	四国
221008	304	道後温泉又新殿 @ 愛媛 221008	img/221008_026.jpeg	四国
221008	305	道後温泉又新殿 @ 愛媛 221008	img/221008_027.jpeg	四国
221008	306	道後温泉又新殿 @ 愛媛 221008	img/221008_028.jpeg	四国
221008	307	道後温泉又新殿 @ 愛媛 221008	img/221008_029.jpeg	四国
221008	308	道後温泉又新殿 @ 愛媛 221008	img/221008_030.jpeg	四国
221008	309	太刀魚巻き @ 愛媛 221008	img/221008_014.jpeg	四国
221008	310	坊っちゃん列車 @ 愛媛 221008	img/221008_017.jpeg	四国
221008	311	坊っちゃん列車 @ 愛媛 221008	img/221008_018.jpeg	四国
221008	312	坊っちゃん列車 @ 愛媛 221008	img/221008_020.jpeg	四国
221008	313	坊っちゃん列車 @ 愛媛 221008	img/221008_021.jpeg	四国
221008	314	坊っちゃん列車乗車券 @ 愛媛 221008	img/221008_032.jpeg	四国
221008	315	かどや鯛めし @ 愛媛 221008	img/221008_022.jpeg	四国
221008	316	かどや鯛めし @ 愛媛 221008	img/221008_023.jpeg	四国
221008	317	かどや鯛めし @ 愛媛 221008	img/221008_024.jpeg	四国
221008	318	予土線 @ 高知 221008	img/221008_001.jpeg	四国
221008	319	満洲軒 @ 高知 221008	img/221008_002.jpeg	四国
221008	320	ジャン麺 @ 高知 221008	img/221008_015.jpeg	四国
221008	321	美馬旅館 @ 高知 221008	img/221008_007.jpeg	四国
221008	322	美馬旅館 @ 高知 221008	img/221008_008.jpeg	四国
221008	323	美馬旅館 @ 高知 221008	img/221008_010.jpeg	四国
221008	324	美馬旅館 @ 高知 221008	img/221008_011.jpeg	四国
221008	325	美馬旅館 @ 高知 221008	img/221008_012.jpeg	四国
221008	326	美馬旅館 @ 高知 221008	img/221008_003.jpeg	四国
221008	327	美馬旅館 @ 高知 221008	img/221008_004.jpeg	四国
221008	328	美馬旅館 @ 高知 221008	img/221008_005.jpeg	四国
221008	329	美馬旅館 @ 高知 221008	img/221008_006.jpeg	四国
221009	330	桂浜 @ 高知 221009	img/221009_001.jpeg	四国
